,Unnamed: 0,Day,Month,Year,Latitude,Longitude,X..km2,Total.Wieght..g..km.2,Source,Mesh.Size,Notes,CutOff,TopLim,Microplastics...km.2,Macroplastics....km.2,Microplastics.Weight..g...km.2,Macroplastics.Weight..g...km.2,Ship,CruiseNo,CruiseNoCode,StationNo,TimeLocal,TimeLocalFormatted,MonthUTC,DayUTC,YearUTC,TowAreaM2,CountPlasticFragments,CountPlasticPellets,CountTotalPlastics,FragmentDensityNoSqKm,PelletDensityNoSqKm,u10Mps,v10Mps,count_total
166,167,15.0,6.0,2009,25.107,-128.1097,30885.1,42.67,C. Moore,335.0,Corrected,4750.0,,27051.09,3834.01,10.29,32.38,,,,,,,,,,,,,,,,,,30885.1
167,168,20.0,9.0,2007,38.6878,-142.0264,21115.47,248.58,C. Moore,335.0,Corrected,4750.0,,19454.7,1660.77,23.91,224.67,,,,,,,,,,,,,,,,,,21115.47
168,169,27.0,1.0,2008,30.1206,-165.4097,28400.33,275.58,C. Moore,335.0,Corrected,4750.0,,26062.85,2337.48,96.53,179.05,,,,,,,,,,,,,,,,,,28400.329999999998
169,170,6.0,2.0,2008,36.1594,-157.5585,19699.91,581.25,C. Moore,335.0,Corrected,4750.0,,17909.01,1790.9,84.77,496.48,,,,,,,,,,,,,,,,,,19699.91
170,171,15.0,7.0,2009,35.4108,-179.8732,33983.3,48.46,C. Moore,335.0,Corrected,4750.0,,30207.38,3775.92,39.78,8.68,,,,,,,,,,,,,,,,,,33983.3
171,172,12.0,7.0,2009,34.4678,-176.4583,33318.57,699.5,C. Moore,335.0,Corrected,4750.0,,26785.52,6533.05,35.74,663.76,,,,,,,,,,,,,,,,,,33318.57
172,173,2.0,2.0,2008,33.2827,-164.9998,20339.96,429.55,C. Moore,335.0,Corrected,4750.0,,17811.83,2528.13,188.34,241.21,,,,,,,,,,,,,,,,,,20339.960000000003
173,174,9.0,9.0,2009,25.6292,-158.9848,31645.82,47.91,C. Moore,335.0,Corrected,4750.0,,31206.29,439.53,37.36,10.55,,,,,,,,,,,,,,,,,,31645.82
174,175,28.0,1.0,2008,32.0113,-165.4,22061.16,515.54,C. Moore,335.0,Corrected,4750.0,,19067.15,2994.01,136.88,378.66,,,,,,,,,,,,,,,,,,22061.160000000003
175,176,16.0,9.0,2007,37.2045,-133.865,35166.41,100.84,C. Moore,335.0,Corrected,4750.0,,34058.81,1107.6,39.78,61.06,,,,,,,,,,,,,,,,,,35166.409999999996
176,177,20.0,9.0,2007,38.6913,-141.772,38575.59,75.55,C. Moore,335.0,Corrected,4750.0,,36139.24,2436.35,37.79,37.76,,,,,,,,,,,,,,,,,,38575.59
177,178,23.0,1.0,2008,22.0984,-160.9692,24820.88,191.44,C. Moore,335.0,Corrected,4750.0,,23449.56,1371.32,132.34,59.1,,,,,,,,,,,,,,,,,,24820.88
178,179,1.0,2.0,2008,32.4721,-166.1064,25307.06,405.48,C. Moore,335.0,Corrected,4750.0,,20071.12,5235.94,141.25,264.23,,,,,,,,,,,,,,,,,,25307.059999999998
179,180,4.0,7.0,2009,30.5422,-163.2292,34166.76,321.17,C. Moore,335.0,Corrected,4750.0,,32458.42,1708.34,174.01,147.16,,,,,,,,,,,,,,,,,,34166.759999999995
180,181,7.0,7.0,2009,34.3688,-169.1825,31065.63,150.03,C. Moore,335.0,Corrected,4750.0,,28976.01,2089.62,93.33,56.7,,,,,,,,,,,,,,,,,,31065.629999999997
181,182,14.0,7.0,2009,34.1497,-179.9897,39596.83,24.88,C. Moore,335.0,Corrected,4750.0,,39596.83,0.0,24.88,0.0,,,,,,,,,,,,,,,,,,39596.83
182,183,30.0,1.0,2008,32.5552,-169.6959,28747.7,225.48,C. Moore,335.0,Corrected,4750.0,,27122.83,1624.87,171.36,54.12,,,,,,,,,,,,,,,,,,28747.7
183,184,27.0,9.0,2007,29.4539,-153.52,30921.9,785.29,C. Moore,335.0,Corrected,4750.0,,25544.18,5377.72,290.67,494.62,,,,,,,,,,,,,,,,,,30921.9
184,185,19.0,9.0,2009,33.1373,-159.246,59995.2,254.42,C. Moore,335.0,Corrected,4750.0,,58031.72,1963.48,179.98,74.44,,,,,,,,,,,,,,,,,,59995.200000000004
185,186,24.0,11.0,2007,19.3403,-156.087,52317.24,603.91,C. Moore,335.0,Corrected,4750.0,,50531.67,1785.57,31.81,572.1,,,,,,,,,,,,,,,,,,52317.24
186,187,19.0,9.0,2009,33.1848,-159.229,53582.6,3564.85,C. Moore,335.0,Corrected,4750.0,,49097.71,4484.89,116.44,3448.41,,,,,,,,,,,,,,,,,,53582.6
187,188,14.0,7.0,2009,34.0135,-179.9885,36312.89,34.74,C. Moore,335.0,Corrected,4750.0,,36312.89,0.0,34.74,0.0,,,,,,,,,,,,,,,,,,36312.89
188,189,1.0,2.0,2008,32.5498,-165.8103,41052.17,1250.11,C. Moore,335.0,Corrected,4750.0,,36158.11,4894.06,234.43,1015.68,,,,,,,,,,,,,,,,,,41052.17
189,190,16.0,7.0,2009,36.4778,-179.353,59995.2,89.58,C. Moore,335.0,Corrected,4750.0,,55709.83,4285.37,31.73,57.85,,,,,,,,,,,,,,,,,,59995.200000000004
190,191,29.0,1.0,2008,33.0136,-168.1356,46871.26,484.67,C. Moore,335.0,Corrected,4750.0,,41843.25,5028.01,92.4,392.27,,,,,,,,,,,,,,,,,,46871.26
191,192,26.0,9.0,2007,31.5611,-152.6133,41121.11,4452.45,C. Moore,335.0,Corrected,4750.0,,35092.88,6028.23,412.46,4039.99,,,,,,,,,,,,,,,,,,41121.11
192,193,9.0,7.0,2009,34.9987,-171.8237,58204.93,8349.79,C. Moore,335.0,Corrected,4750.0,,54083.12,4121.81,47.47,8302.32,,,,,,,,,,,,,,,,,,58204.93
193,194,15.0,7.0,2009,35.3822,-179.893,54164.94,102.31,C. Moore,335.0,Corrected,4750.0,,52096.14,2068.8,50.78,51.53,,,,,,,,,,,,,,,,,,54164.94
194,195,27.0,1.0,2008,30.989,-165.4256,38346.41,321.63,C. Moore,335.0,Corrected,4750.0,,36224.47,2121.94,216.75,104.88,,,,,,,,,,,,,,,,,,38346.41
195,196,19.0,7.0,2009,40.492,-178.7088,47996.16,125.53,C. Moore,335.0,Corrected,4750.0,,45227.15,2769.01,95.07,30.46,,,,,,,,,,,,,,,,,,47996.16
196,197,5.0,7.0,2009,32.7388,-165.2378,116597.81,1867.14,C. Moore,335.0,Corrected,4750.0,,112669.55,3928.26,186.2,1680.94,,,,,,,,,,,,,,,,,,116597.81
197,198,9.0,7.0,2009,35.0003,-171.9347,63696.21,407.64,C. Moore,335.0,Corrected,4750.0,,60306.87,3389.34,98.4,309.24,,,,,,,,,,,,,,,,,,63696.21000000001
